frame,quality,det_H,reproj_error_px,frames_since_valid,warmed_up,proc_time_ms
157,0.25,1.451159e-02,0.0,0,1,344.0
158,0.25,1.450536e-02,0.0,0,1,344.83
159,0.25,1.449922e-02,0.0,0,1,345.92
160,0.25,1.449577e-02,0.0,0,1,346.05
161,0.25,1.449236e-02,0.0,0,1,342.93
162,0.25,1.448699e-02,0.0,0,1,340.73
163,0.25,1.447849e-02,0.0,0,1,343.58
164,0.25,1.446801e-02,0.0,0,1,341.74
165,0.25,1.445767e-02,0.0,0,1,341.24
166,0.25,1.444746e-02,0.0,0,1,340.81
167,0.25,1.444040e-02,0.0,0,1,346.12
168,0.25,1.443343e-02,0.0,0,1,343.41
169,0.25,1.443185e-02,0.0,0,1,342.33
170,0.25,1.443030e-02,0.0,0,1,341.24
171,0.25,1.442877e-02,0.0,0,1,342.41
172,0.25,1.445086e-02,0.0,0,1,342.27
173,0.25,1.447271e-02,0.0,0,1,344.96
174,0.25,1.446475e-02,0.0,0,1,342.73
175,0.25,1.445689e-02,0.0,0,1,342.68
176,0.25,1.445114e-02,0.0,0,1,341.31
177,0.25,1.444547e-02,0.0,0,1,340.95
178,0.25,1.443987e-02,0.0,0,1,342.1
179,0.25,1.443178e-02,0.0,0,1,342.76
180,0.25,1.442621e-02,0.0,0,1,341.48
181,0.25,1.442220e-02,0.0,0,1,342.63
182,0.25,1.441825e-02,0.0,0,1,342.29
183,0.25,1.441434e-02,0.0,0,1,342.21
184,0.25,1.441153e-02,0.0,0,1,341.22
185,0.25,1.440876e-02,0.0,0,1,341.82
186,0.25,1.440129e-02,0.0,0,1,343.05
187,0.25,1.439390e-02,0.0,0,1,345.16
188,0.25,1.438846e-02,0.0,0,1,327.42
189,0.25,1.438310e-02,0.0,0,1,328.62
190,0.25,1.437779e-02,0.0,0,1,329.2
191,0.25,1.437440e-02,0.0,0,1,328.44
192,0.25,1.437106e-02,0.0,0,1,329.3
193,0.25,1.437000e-02,0.0,0,1,327.08
194,0.25,1.436897e-02,0.0,0,1,326.93
195,0.25,1.436794e-02,0.0,0,1,329.43
196,0.25,1.436238e-02,0.0,0,1,330.33
197,0.25,1.435687e-02,0.0,0,1,329.09
198,0.25,1.435453e-02,0.0,0,1,331.19
199,0.25,1.435222e-02,0.0,0,1,331.98
200,0.25,1.434706e-02,0.0,0,1,332.12
201,0.25,1.434371e-02,0.0,0,1,330.64
202,0.25,1.433865e-02,0.0,0,1,330.19
203,0.25,1.433581e-02,0.0,0,1,335.04
204,0.25,1.433300e-02,0.0,0,1,332.99
205,0.25,1.433114e-02,0.0,0,1,335.74
206,0.25,1.432931e-02,0.0,0,1,332.57
207,0.25,1.432750e-02,0.0,0,1,333.04
208,0.25,1.432484e-02,0.0,0,1,330.32
209,0.25,1.432221e-02,0.0,0,1,328.95
210,0.25,1.431921e-02,0.0,0,1,327.4
211,0.25,1.431624e-02,0.0,0,1,331.43
212,0.25,1.431348e-02,0.0,0,1,328.62
213,0.25,1.431076e-02,0.0,0,1,327.89
214,0.25,1.430806e-02,0.0,0,1,328.41
215,0.25,1.430647e-02,0.0,0,1,329.21
216,0.25,1.430491e-02,0.0,0,1,328.46
217,0.25,1.430537e-02,0.0,0,1,329.23
218,0.25,1.430584e-02,0.0,0,1,328.5
219,0.25,1.430630e-02,0.0,0,1,328.46
220,0.25,1.429900e-02,0.0,0,1,332.28
221,0.25,1.429177e-02,0.0,0,1,329.8
222,0.25,1.428726e-02,0.0,0,1,332.06
223,0.25,1.428279e-02,0.0,0,1,330.84
224,0.25,1.427618e-02,0.0,0,1,329.05
225,0.25,1.426963e-02,0.0,0,1,329.98
226,0.25,1.426315e-02,0.0,0,1,329.11
227,0.25,1.425810e-02,0.0,0,1,329.41
228,0.25,1.425175e-02,0.0,0,1,336.45
229,0.25,1.424795e-02,0.0,0,1,331.12
230,0.25,1.424337e-02,0.0,0,1,331.25
231,0.25,1.423965e-02,0.0,0,1,330.04
232,0.25,1.423821e-02,0.0,0,1,328.83
233,0.25,1.423679e-02,0.0,0,1,329.31
234,0.25,1.423314e-02,0.0,0,1,331.64
235,0.25,1.422953e-02,0.0,0,1,331.61
236,0.25,1.422239e-02,0.0,0,1,330.67
237,0.25,1.421531e-02,0.0,0,1,329.47
238,0.25,1.420831e-02,0.0,0,1,330.42
239,0.25,1.420711e-02,0.0,0,1,330.42
240,0.25,1.420592e-02,0.0,0,1,333.09
241,0.25,1.420355e-02,0.0,0,1,331.1
242,0.25,1.420121e-02,0.0,0,1,327.51
243,0.25,1.419888e-02,0.0,0,1,328.49
244,0.25,1.419310e-02,0.0,0,1,332.46
245,0.25,1.418738e-02,0.0,0,1,332.22
246,0.25,1.418372e-02,0.0,0,1,332.21
247,0.25,1.417989e-02,0.0,0,1,331.71
248,0.25,1.417329e-02,0.0,0,1,330.71
249,0.25,1.416628e-02,0.0,0,1,333.92
250,0.25,1.415932e-02,0.0,0,1,334.91
251,0.25,1.415614e-02,0.0,0,1,330.77
252,0.25,1.415300e-02,0.0,0,1,332.02
253,0.25,1.414765e-02,0.0,0,1,332.29
254,0.25,1.414235e-02,0.0,0,1,332.2
255,0.25,1.413709e-02,0.0,0,1,327.84
256,0.25,1.413220e-02,0.0,0,1,331.38
257,0.25,1.412735e-02,0.0,0,1,326.47
258,0.25,1.412337e-02,0.0,0,1,338.95
259,0.25,1.411943e-02,0.0,0,1,332.55
260,0.25,1.411718e-02,0.0,0,1,333.34
261,0.25,1.411495e-02,0.0,0,1,332.64
262,0.25,1.411273e-02,0.0,0,1,332.29
263,0.25,1.411301e-02,0.0,0,1,329.83
264,0.25,1.411328e-02,0.0,0,1,330.03
265,0.25,1.411355e-02,0.0,0,1,330.64
266,0.25,1.411427e-02,0.0,0,1,332.07
267,0.25,1.411498e-02,0.0,0,1,331.19
268,0.25,1.411369e-02,0.0,0,1,331.29
269,0.25,1.411241e-02,0.0,0,1,329.87
270,0.25,1.410825e-02,0.0,0,1,328.76
271,0.25,1.410413e-02,0.0,0,1,330.37
272,0.25,1.410147e-02,0.0,0,1,333.89
273,0.25,1.409884e-02,0.0,0,1,333.33
274,0.25,1.409624e-02,0.0,0,1,333.39
275,0.25,1.409441e-02,0.0,0,1,331.38
276,0.25,1.409261e-02,0.0,0,1,331.14
277,0.25,1.409265e-02,0.0,0,1,332.51
278,0.25,1.409269e-02,0.0,0,1,330.12
279,0.25,1.409274e-02,0.0,0,1,329.99
280,0.25,1.409020e-02,0.0,0,1,328.06
281,0.25,1.408768e-02,0.0,0,1,330.92
282,0.25,1.408425e-02,0.0,0,1,329.81
283,0.25,1.408084e-02,0.0,0,1,329.39
284,0.25,1.408009e-02,0.0,0,1,333.94
285,0.25,1.407934e-02,0.0,0,1,335.79
286,0.25,1.407860e-02,0.0,0,1,334.88
287,0.25,1.407925e-02,0.0,0,1,330.15
288,0.25,1.407990e-02,0.0,0,1,333.54
289,0.25,1.407703e-02,0.0,0,1,333.73
290,0.25,1.407417e-02,0.0,0,1,329.39
291,0.25,1.407134e-02,0.0,0,1,330.71
292,0.25,1.407159e-02,0.0,0,1,333.24
293,0.25,1.407185e-02,0.0,0,1,333.29
294,0.25,1.407114e-02,0.0,0,1,328.2
295,0.25,1.407044e-02,0.0,0,1,329.23
296,0.25,1.407132e-02,0.0,0,1,328.57
297,0.25,1.407219e-02,0.0,0,1,328.95
298,0.25,1.407307e-02,0.0,0,1,329.47
299,0.25,1.407135e-02,0.0,0,1,329.97
300,0.25,1.406965e-02,0.0,0,1,330.16
301,0.25,1.406718e-02,0.0,0,1,330.99
302,0.25,1.406523e-02,0.0,0,1,330.87
303,0.25,1.406280e-02,0.0,0,1,332.82
304,0.25,1.406040e-02,0.0,0,1,328.42
305,0.25,1.405802e-02,0.0,0,1,329.26
306,0.25,1.405534e-02,0.0,0,1,330.79
307,0.25,1.405268e-02,0.0,0,1,329.93
308,0.25,1.405033e-02,0.0,0,1,329.79
309,0.25,1.404799e-02,0.0,0,1,330.74
310,0.25,1.404567e-02,0.0,0,1,329.54
311,0.25,1.404656e-02,0.0,0,1,332.25
312,0.25,1.404745e-02,0.0,0,1,329.28
313,0.25,1.404247e-02,0.0,0,1,328.82
314,0.25,1.403753e-02,0.0,0,1,328.31
315,0.25,1.403262e-02,0.0,0,1,328.04
316,0.25,1.402744e-02,0.0,0,1,328.95
317,0.25,1.402229e-02,0.0,0,1,330.55
318,0.25,1.402307e-02,0.0,0,1,328.27
319,0.25,1.402384e-02,0.0,0,1,335.18
320,0.25,1.402338e-02,0.0,0,1,335.61
321,0.25,1.402291e-02,0.0,0,1,337.8
322,0.25,1.402246e-02,0.0,0,1,332.39
323,0.25,1.402254e-02,0.0,0,1,329.91
324,0.25,1.402263e-02,0.0,0,1,328.73
325,0.25,1.402229e-02,0.0,0,1,331.04
326,0.25,1.402195e-02,0.0,0,1,330.51
327,0.25,1.402161e-02,0.0,0,1,330.92
328,0.25,1.402154e-02,0.0,0,1,331.2
329,0.25,1.402146e-02,0.0,0,1,331.13
